phenotype_1	phenotype_2	phenotype_1_category	phenotype_2_category	phenotype_category	drug_se_overlap_coef	drug_ind_overlap_coef	ldsc_score	magma_cor	smultixcan_cor	l2g_cor	coloc_overcoef
D001289	D001008	nervous system disease	nervous system disease	Same	0	0.0625	0.2721	0.00145028768271711		-0.0017007657571938	
D001289	D013313	nervous system disease	nervous system disease	Same		0	0.5672	-0.0190374793737042		-0.00111311463631282	
D001289	D000856	nervous system disease	nervous system disease	Same		0	-0.2812	0.0504184019601146		0.0175475637355959	
D001289	D015228	nervous system disease	metabolic disease	Different	0.5	0	0.1283	0.0255318975718763		-0.00988853525940362	
D001289	D003324	nervous system disease	cardiovascular disease	Different	0	0	0.1954	0.031186836517794		0.0163544734295709	
D001289	D009765	nervous system disease	metabolic disease	Different	0	0.09375	0.2844	0.0343824133321728		-0.0054010433096068	
D001289	D020177	nervous system disease	nervous system disease	Same			0.17955	0.0180040030335883			
D001289	D010300	nervous system disease	nervous system disease	Same	0	0.03125	-0.0183	-0.0101943792427069		-0.0100504846289604	
D001289	D013771	nervous system disease	cardiovascular disease	Different		0	0.2693			-0.00157449777843506	
D001289	D001172	nervous system disease	musculoskeletal or connective tissue disease	Different		0	0.1761	0.0205237057971228		-0.0142403748877472	
D001289	D003424	nervous system disease	gastrointestinal disease	Different	0	0	0.0403	0.00388180779467457		-0.0165025310579596	
D001289	D003093	nervous system disease	gastrointestinal disease	Different	0	0	-0.081	0.0195431717536319		-0.0136231774896777	
D001289	D015212	nervous system disease	gastrointestinal disease	Different	0	0	-0.0099	0.00665266025790703		-0.0182364050318076	
D001289	D002761	nervous system disease	cell proliferation disorder	Different	0	0	-0.2129	0.0366810904039294		-0.00826746512012486	
D001289	D017098	nervous system disease	immune system disease	Different			-0.0117	-0.000750441433110482		-0.00269103704764355	
D001289	D008268	nervous system disease	disease of visual system	Different		0	-0.0785	0.024900949470368		-0.00272930103844682	
D001289	D034381	nervous system disease	nervous system disease	Same	0	0	0.22425	0.0213764244381281		-0.00120234143547745	
D001289	D014012	nervous system disease	disease of ear	Different	0.5	0	0.1946	0.038688066883526			
D001289	D000505	nervous system disease	integumentary system disease	Different	0.5	0	0.083213	0.0349688126663291		0.0646276893207646	
D001289	D019226	nervous system disease	gastrointestinal disease	Different	0	0	0.10239	0.0420776407788074		-0.011434555644028	
D001289	D000787	nervous system disease	cardiovascular disease	Different	0	0	0.2769	0.0217548186588055		0.0191419736834747	
D001289	D065631	nervous system disease	respiratory or thoracic disease	Different	0	0	-0.0385	0.0105081334255077		-0.0107822961536677	
D001289	D001249	nervous system disease	respiratory or thoracic disease	Different	0	0	0.1506	0.0235419515184338		-0.0229543737434331	
D001289	D005764	nervous system disease	gastrointestinal disease	Different	0.5	0	0.3126	0.0208901361135336		0.119545967609632	
D001289	D007037	nervous system disease	endocrine system disease	Different	0	0	0.092	0.00169221937962494		-0.0135295644572769	
D001289	D008881	nervous system disease	cardiovascular disease	Different	0	0.0625	0.005	0.0200841972286513		-0.00929206801771468	
D001289	D004485	nervous system disease	integumentary system disease	Different	0.5	0	-0.2078	0.0147882204751587		-0.0119250827333056	
D001289	D006937	nervous system disease	metabolic disease	Different	0.5	0	0.1177	0.0368134021744696		0.00673458736450355	
D001289	D012626	nervous system disease	cell proliferation disorder	Different			0.014963	0.0192553213096472		-0.00425012352326217	
D001289	D001943	nervous system disease	cell proliferation disorder	Different	0	0	-0.052116	0.00865579583058966		-0.00743337400387401	
D001289	D002280	nervous system disease	cell proliferation disorder	Different	0	0	0.00053266	0.0205253052912798		-0.0133235222310862	
D001289	D000230	nervous system disease	cell proliferation disorder	Different		0	-0.0556	-0.00915691298931603		-0.00311967269377725	
D001289	D002386	nervous system disease	disease of visual system	Different	0	0	0.073239	0.0176949370531476		-0.00820204367842829	
D001289	D006552	nervous system disease	gastrointestinal disease	Different	0		-0.0873	0.0120365845071413		-0.00514192968537247	
D001289	D012005	nervous system disease	gastrointestinal disease	Different			0.2254	0.0159775618425607		-0.00101609600672318	
D001289	D014029	nervous system disease	nervous system disease	Same		0.333333333333333	0.5653	0.000266075668303298		0.00940803280598784	
D001289	D009203	nervous system disease	cardiovascular disease	Different	0	0	0.23259	0.0034891298411808		0.0103537492252202	
D001289	D005756	nervous system disease	gastrointestinal disease	Different	0.5	0	0.4765	0.0143705836210425		-0.00227358043034168	
D001289	D006548	nervous system disease	respiratory or thoracic disease	Different	0		0.2338	0.02612142971148		-0.00493368668200494	
D001289	D000076385	nervous system disease	gastrointestinal disease	Different			0.12855	0.012360295345561		-0.00111311463631282	
D001289	D007319	nervous system disease	nervous system disease	Same	0.5	0.0625	0.39388	0.0812475405654509		0.00860280799348208	
D001289	D009290	nervous system disease	nervous system disease	Same	0	0.666666666666667	0.2761	0.0319704710721643		-0.00653373959419285	
D001289	D003922	nervous system disease	pancreas disease	Different		0	0.059104	-0.00738333038691277		-0.0156479592091912	
D001289	D002446	nervous system disease	gastrointestinal disease	Different		0	-0.15804			-0.00734661063261869	
D001289	D008105	nervous system disease	cell proliferation disorder	Different		0	0.0336	-0.00337736904678139		-0.00369920521615775	
D001289	D014820	nervous system disease	integumentary system disease	Different	0	0	-0.1661			-0.0119910984082825	
D001289	D009798	nervous system disease	cardiovascular disease	Different	0	0	0.0067	0.0296988568529123		-0.0144442625570268	
D001289	D009447	nervous system disease	cell proliferation disorder	Different		0	0.1665			0.0759746922035436	
D001289	D012559	nervous system disease	nervous system disease	Same	0.5	0.03125	0.16271	0.0640385107137438		0.101965654355533	
D001289	D000690	nervous system disease	nervous system disease	Same		0	0.15532	0.0488300437097638		-0.00633610433786167	
D001289	D008180	nervous system disease	immune system disease	Different	0	0	-0.0875	-0.00596727749517112		-0.019455966558464	
D001289	D000437	nervous system disease	nervous system disease	Same		0.0454545454545455	0.4539	0.024409982077151		0.0051040734990824	
D001289	D000067877	nervous system disease	nervous system disease	Same			0.3844	0.183117075223733		-0.00272930103810684	
D001289	D001714	nervous system disease	nervous system disease	Same	0	0.03125	0.1279	0.0480720820048631		-0.0111074870602121	
D001289	D009771	nervous system disease	nervous system disease	Same		0.1	-0.1774	-0.00400232220807668		-0.00231868378355791	
D001289	D003924	nervous system disease	pancreas disease	Different	0	0	0.17105	0.0252930641114762		-0.0225087532664125	
D001289	D000544	nervous system disease	nervous system disease	Same	0	0.0588235294117647	0.16703	0.0227538107600366		-0.0128414747730701	
D001289	D004827	nervous system disease	nervous system disease	Same	0	0.03125	0.25967	0.0380846742231284		-0.00136341824744994	
D001289	D005901	nervous system disease	disease of visual system	Different	0.5	0.0625	-0.03987	0.0225970422229163		-0.0045175286503814	
D001289	D051436	nervous system disease	urinary system disease	Different	0	0	0.04172	0.0206687691921462		-0.00714034392930089	
D001289	D013167	nervous system disease	musculoskeletal or connective tissue disease	Different	0	0	0.1971	0.00949627562298495		-0.00828049266262663	
D001289	D003863	nervous system disease	nervous system disease	Same	0.5	0.1875	0.4649	0.0730619543114312		0.0133807455489235	
D001289	D010003	nervous system disease	musculoskeletal or connective tissue disease	Different	0	0	0.4815	0.0711417658525958		0.0271258931516651	
D001289	D000419	nervous system disease	urinary system disease	Different	0		-0.01406	0.0269307324317139		-0.00143721709727359	
D001289	D001281	nervous system disease	cardiovascular disease	Different	0	0	0.1283	0.0114067080553782		-0.0112040268973167	
D001289	D006973	nervous system disease	cardiovascular disease	Different	0.5	0.0625	0.1484	0.0635968397412939		0.00235068215857401	
D001289	D006327	nervous system disease	cardiovascular disease	Different	0	0				-0.00143721709470004	
D001289	D055623	nervous system disease	cell proliferation disorder	Different	0	0				-0.00491239260146897	
D001289	D001991	nervous system disease	respiratory or thoracic disease	Different	0	0				-0.00213259341739498	
D001289	D008175	nervous system disease	cell proliferation disorder	Different		0				-0.00148378455662654	
D001289	D008545	nervous system disease	cell proliferation disorder	Different	0	0				-0.0120568147739039	
D001289	D008228	nervous system disease	cell proliferation disorder	Different		0				-0.00538153876702637	
D001289	D002294	nervous system disease	cell proliferation disorder	Different	0	0				-0.00717015020830142	
D001289	D002349	nervous system disease	nervous system disease	Same	0			0.0187459180528677		-0.00532261226660159	
D001289	D016883	nervous system disease	pancreas disease	Different	0.5	0				-0.00623506040402065	
D001289	D001749	nervous system disease	cell proliferation disorder	Different	0	0				-0.00284103184459506	
D001289	D007889	nervous system disease	cell proliferation disorder	Different	0	0				-0.00881175148194348	
D001289	D018798	nervous system disease	blood disorder	Different		0				-0.00269103721313269	
D001289	D012893	nervous system disease	nervous system disease	Same	0.5	0.333333333333333				-0.00253226040094754	
D001289	D011655	nervous system disease	cardiovascular disease	Different	0	0				-0.00439511981266172	
D001289	D009202	nervous system disease	cardiovascular disease	Different	0	0	0.1696	0.00222434670305025		-0.00045435116170998	
D001289	D013345	nervous system disease	cardiovascular disease	Different	0	0				-0.000908793501123556	
D001289	D002543	nervous system disease	cardiovascular disease	Different	0	0				-0.00308620292299969	
D001289	D050197	nervous system disease	cardiovascular disease	Different	0	0				-0.0103528705227811	
D001289	D006484	nervous system disease	cardiovascular disease	Different	0	0				-0.00469430612348883	
D001289	D012852	nervous system disease	respiratory or thoracic disease	Different	0.5	0				-0.00482630658716049	
D001289	D011030	nervous system disease	respiratory or thoracic disease	Different	0	0				-0.00192874518301198	
D001289	D013276	nervous system disease	gastrointestinal disease	Different	0	0				-0.00399707040685578	
D001289	D002769	nervous system disease	gastrointestinal disease	Different	0	0	0.29401	-0.00467237208054293		-0.0124176724914099	
D001289	D002764	nervous system disease	gastrointestinal disease	Different	0	0				-0.00623506014132828	
D001289	D010195	nervous system disease	pancreas disease	Different	0.5	0				-0.00261284460331191	
D001289	D008010	nervous system disease	integumentary system disease	Different	0	0				-0.00218059580772879	
D001289	D017492	nervous system disease	integumentary system disease	Different	0	0				-0.00150741642851399	
