drug	phenotype	max_phase_for_ind
CHEMBL1201823	D045743	2
CHEMBL1201823	D001172	Not Applicable
CHEMBL1201823	D008180	3
CHEMBL1201584	D009203	Not Applicable
CHEMBL271227	D011471	4
CHEMBL1566	D003920	4
CHEMBL1566	D024821	3
CHEMBL1566	D065626	2
CHEMBL112	D005334	4
CHEMBL112	D020370	3
CHEMBL112	D010146	4
CHEMBL20	D005901	Not Applicable
CHEMBL20	D007674	2
CHEMBL1131	D011565	Not Applicable
CHEMBL1194325	D029424	4
CHEMBL1201580	D013167	Not Applicable
CHEMBL1201580	D011565	Not Applicable
CHEMBL1201580	D001172	Not Applicable
CHEMBL1201580	D003093	Not Applicable
CHEMBL1265	D000152	Not Applicable
CHEMBL1173655	D002289	4
CHEMBL1742982	D008268	Not Applicable
CHEMBL1742982	D012164	2
CHEMBL714	D029424	4
CHEMBL1201747	D005132	4
CHEMBL1201571	D011565	3
CHEMBL2109540	D052439	3
CHEMBL2109540	D006937	3
CHEMBL1639	D006973	4
CHEMBL1467	D006073	Not Applicable
CHEMBL1467	D007938	4
CHEMBL1467	D008223	4
CHEMBL661	D016584	4
CHEMBL1201593	D000038	3
CHEMBL1201593	D011655	4
CHEMBL1201593	D020521	4
CHEMBL1111	D006976	4
CHEMBL945	D006973	Not Applicable
CHEMBL1491	D006973	Not Applicable
CHEMBL405	D001289	Not Applicable
CHEMBL405	D019970	2
CHEMBL760	D013920	4
CHEMBL1201570	D003920	2
CHEMBL1399	D001943	Not Applicable
CHEMBL1399	D006976	2
CHEMBL231779	D001281	Not Applicable
CHEMBL514800	D003876	2
CHEMBL1471	D009101	3
CHEMBL1471	D002289	3
CHEMBL1471	D020250	4
CHEMBL1363	D029424	4
CHEMBL1112	D001289	Not Applicable
CHEMBL1112	D001321	4
CHEMBL1112	D001714	Not Applicable
CHEMBL1112	D003866	4
CHEMBL1201192	D006970	3
CHEMBL1201192	D007319	2
CHEMBL2362016	D007938	3
CHEMBL3187365	D001714	4
CHEMBL25	D001281	3
CHEMBL25	D004381	2
CHEMBL25	D005334	4
CHEMBL25	D006973	3
CHEMBL25	D058729	3
CHEMBL24	D000787	4
CHEMBL24	D006973	Not Applicable
CHEMBL24	D009203	4
CHEMBL641	D001289	Not Applicable
CHEMBL1487	D006950	3
CHEMBL1487	D052439	3
CHEMBL1487	D006937	Not Applicable
CHEMBL1487	D011085	2
CHEMBL1487	D011471	Not Applicable
CHEMBL1487	D006976	2
CHEMBL1487	D014652	2
CHEMBL1289926	D002292	4
CHEMBL1489	D015470	3
CHEMBL1489	D009190	4
CHEMBL1542	D009157	3
CHEMBL2028661	D006973	Not Applicable
CHEMBL1789843	D008180	4
CHEMBL632	D003876	4
CHEMBL1201583	D008268	Not Applicable
CHEMBL1201583	D001932	3
CHEMBL1201583	D001943	Not Applicable
CHEMBL1201583	D002277	2
CHEMBL1201583	D015179	Not Applicable
CHEMBL1201583	D003930	3
CHEMBL1201583	D004938	2
CHEMBL1201583	D005901	Not Applicable
CHEMBL1201583	D005909	4
CHEMBL1201583	D002289	4
CHEMBL1201583	D010190	3
CHEMBL1201583	D011625	3
CHEMBL1201583	D002292	4
CHEMBL1023	D002289	3
CHEMBL409	D011471	Not Applicable
CHEMBL1742992	D054198	3
CHEMBL325041	D007938	2
CHEMBL325041	D009101	4
CHEMBL957	D006976	4
CHEMBL288441	D005909	2
CHEMBL1201574	D002547	3
CHEMBL1201574	D009765	2
CHEMBL1742994	D006689	Not Applicable
CHEMBL1370	D006255	4
CHEMBL1370	D029424	4
CHEMBL1370	D003093	4
CHEMBL1072	D006333	Not Applicable
CHEMBL1072	D007674	4
CHEMBL1072	D009404	4
CHEMBL1098	D007022	Not Applicable
CHEMBL1098	D006552	Not Applicable
CHEMBL1098	D010146	4
CHEMBL511142	D006556	4
CHEMBL511142	D009293	4
CHEMBL511142	D010146	4
CHEMBL894	D001714	Not Applicable
CHEMBL894	D014029	Not Applicable
CHEMBL894	D016540	3
CHEMBL894	D003866	4
CHEMBL1201748	D008080	2
CHEMBL1201748	D011471	4
CHEMBL1201748	D055752	2
CHEMBL1200666	D011565	4
CHEMBL846	D002280	2
CHEMBL846	D002289	1
CHEMBL846	D011565	Not Applicable
CHEMBL846	D008180	2
CHEMBL1201834	D001171	4
CHEMBL1014	D006973	4
CHEMBL1773	D001943	Not Applicable
CHEMBL1773	D015179	Not Applicable
CHEMBL1773	D004938	3
CHEMBL1773	D013274	3
CHEMBL1773	D010190	3
CHEMBL1773	D002294	Not Applicable
CHEMBL1560	D006333	Not Applicable
CHEMBL1560	D006331	2
CHEMBL1560	D006973	Not Applicable
CHEMBL1560	D009203	4
CHEMBL108	D004827	Not Applicable
CHEMBL108	D004828	4
CHEMBL451887	D054198	1
CHEMBL451887	D009101	4
CHEMBL2028019	D001714	4
