drug	mesh_id
CHEMBL1620698	D015746
CHEMBL1620698	D000550
CHEMBL1620698	D000740
CHEMBL1620698	D001007
CHEMBL1620698	D001145
CHEMBL1620698	D001247
CHEMBL1620698	D001281
CHEMBL1620698	D001416
CHEMBL1620698	D001991
CHEMBL1620698	D002318
CHEMBL1620698	D002637
CHEMBL1620698	D003141
CHEMBL1620698	D003248
CHEMBL1620698	D003371
CHEMBL1620698	D003863
CHEMBL1620698	D003967
CHEMBL1620698	D004244
CHEMBL1620698	D004408
CHEMBL1620698	D004415
CHEMBL1620698	D004417
CHEMBL1620698	D005076
CHEMBL1620698	D003872
CHEMBL1620698	D005128
CHEMBL1620698	D005334
CHEMBL1620698	D005756
CHEMBL1620698	D005767
CHEMBL1620698	D006261
CHEMBL1620698	D006470
CHEMBL1620698	D006934
CHEMBL1620698	D006947
CHEMBL1620698	D006967
CHEMBL1620698	D006973
CHEMBL1620698	D007022
CHEMBL1620698	D007251
CHEMBL1620698	D013035
CHEMBL1620698	D008551
CHEMBL1620698	D009122
CHEMBL1620698	D009325
CHEMBL1620698	D010146
CHEMBL1620698	D010279
CHEMBL1620698	D010292
CHEMBL1620698	D010612
CHEMBL1620698	D011537
CHEMBL1620698	D051437
CHEMBL1620698	D012220
CHEMBL1620698	D012640
CHEMBL1620698	D012852
CHEMBL1620698	D013610
CHEMBL1620698	D014552
CHEMBL1620698	D014652
CHEMBL1620698	D014717
CHEMBL1620698	D014839
CHEMBL1620698	D015430
CHEMBL1620698	D000075662
CHEMBL1620698	D014947
CHEMBL1620698	D018589
CHEMBL1620698	D063806
CHEMBL1620698	D007319
CHEMBL1620698	D018908
CHEMBL1620698	D019966
CHEMBL96	D000707
CHEMBL96	D000799
CHEMBL96	D010146
CHEMBL96	D014581
CHEMBL601	D000740
CHEMBL601	D001037
CHEMBL601	D001523
CHEMBL601	D001932
CHEMBL601	D003141
CHEMBL601	D003967
CHEMBL601	D004487
CHEMBL601	D005076
CHEMBL601	D003872
CHEMBL601	D005128
CHEMBL601	D005334
CHEMBL601	D005767
CHEMBL601	D005910
CHEMBL601	D006261
CHEMBL601	D006331
CHEMBL601	D006423
CHEMBL601	D010291
CHEMBL601	D006470
CHEMBL601	D006561
CHEMBL601	D006941
CHEMBL601	D006930
CHEMBL601	D006987
CHEMBL601	D007022
CHEMBL601	D007964
CHEMBL601	D009325
CHEMBL601	D009369
CHEMBL601	D009422
CHEMBL601	D001007
CHEMBL601	D010146
CHEMBL601	D010292
CHEMBL601	D011537
CHEMBL601	D012131
CHEMBL601	D012628
CHEMBL601	D012640
CHEMBL601	D012871
CHEMBL601	D013471
CHEMBL601	D017484
CHEMBL601	D013921
CHEMBL601	D004617
CHEMBL601	D014456
CHEMBL601	D004890
CHEMBL601	D014652
CHEMBL601	D014839
CHEMBL601	D023341
CHEMBL601	D017495
CHEMBL601	D017496
CHEMBL601	D014581
CHEMBL601	D004066
CHEMBL601	D012878
CHEMBL601	D000152
CHEMBL601	D001929
CHEMBL2220614	D015746
CHEMBL2220614	D002821
CHEMBL2220614	D001416
CHEMBL2220614	D003967
CHEMBL2220614	D004211
CHEMBL2220614	D005316
CHEMBL2220614	D005322
CHEMBL2220614	D005334
CHEMBL2220614	D006340
CHEMBL2220614	D006967
CHEMBL2220614	D007022
CHEMBL2220614	D007154
CHEMBL2220614	D009325
CHEMBL2220614	D011247
CHEMBL2220614	D014597
CHEMBL2220614	D014652
CHEMBL2220614	D014839
CHEMBL2220614	D018805
CHEMBL2220614	D066087
CHEMBL2220614	D001919
CHEMBL667	D015715
CHEMBL667	D003318
CHEMBL667	D004417
CHEMBL667	D005483
CHEMBL667	D007022
CHEMBL667	D006945
CHEMBL667	D001919
CHEMBL11909	D000707
CHEMBL11909	D000799
CHEMBL11909	D001049
CHEMBL11909	D001145
CHEMBL11909	D001247
CHEMBL11909	D001281
CHEMBL11909	D054537
CHEMBL11909	D001416
CHEMBL11909	D001986
CHEMBL11909	D002637
CHEMBL11909	D003371
CHEMBL11909	D004244
CHEMBL11909	D000077260
CHEMBL11909	D004417
CHEMBL11909	D005076
CHEMBL11909	D003872
CHEMBL11909	D005483
CHEMBL11909	D006261
CHEMBL11909	D006323
CHEMBL11909	D006331
CHEMBL11909	D006333
CHEMBL11909	D006967
CHEMBL11909	D006973
CHEMBL11909	D006985
CHEMBL11909	D007022
CHEMBL11909	D008477
CHEMBL11909	D009203
CHEMBL11909	D054058
CHEMBL11909	D009325
CHEMBL11909	D001007
CHEMBL11909	D006987
CHEMBL11909	D010146
CHEMBL11909	D010292
CHEMBL11909	D018880
CHEMBL11909	D012607
CHEMBL11909	D012640
CHEMBL11909	D012848
CHEMBL11909	D020521
CHEMBL11909	D006945
CHEMBL11909	D014474
CHEMBL11909	D012769
CHEMBL11909	D013575
CHEMBL11909	D013610
CHEMBL11909	D013616
CHEMBL11909	D014012
CHEMBL11909	D016171
CHEMBL11909	D014202
CHEMBL11909	D014581
CHEMBL11909	D014693
CHEMBL11909	D017180
CHEMBL11909	D014839
