drug	target
CHEMBL86304	ENSG00000189221
CHEMBL4298123	ENSG00000135077
CHEMBL1783256	ENSG00000011677
CHEMBL4297163	ENSG00000112715
CHEMBL1237132	ENSG00000151067
CHEMBL1237132	ENSG00000081248
CHEMBL1237132	ENSG00000157388
CHEMBL1237132	ENSG00000102001
CHEMBL142703	ENSG00000197635
CHEMBL3137318	ENSG00000143799
CHEMBL3137320	ENSG00000143799
CHEMBL1743022	ENSG00000119699
CHEMBL1082607	ENSG00000169252
CHEMBL1263	ENSG00000169252
CHEMBL2028987	ENSG00000109163
CHEMBL415606	ENSG00000109163
CHEMBL1255582	ENSG00000150594
CHEMBL1255582	ENSG00000184160
CHEMBL1255582	ENSG00000274286
CHEMBL1200549	ENSG00000138435
CHEMBL1200549	ENSG00000196811
CHEMBL1200549	ENSG00000170175
CHEMBL1200549	ENSG00000135902
CHEMBL1200549	ENSG00000108556
CHEMBL1201352	ENSG00000138435
CHEMBL1201352	ENSG00000196811
CHEMBL1201352	ENSG00000170175
CHEMBL1201352	ENSG00000135902
CHEMBL1201352	ENSG00000108556
CHEMBL23261	ENSG00000151617
CHEMBL1914489	ENSG00000183134
CHEMBL1409	ENSG00000108576
CHEMBL814	ENSG00000108576
CHEMBL1201664	ENSG00000171105
CHEMBL2356097	ENSG00000043591
CHEMBL13	ENSG00000043591
CHEMBL341812	ENSG00000073756
CHEMBL341812	ENSG00000095303
CHEMBL3545367	ENSG00000137252
CHEMBL384304	ENSG00000123374
CHEMBL2220486	ENSG00000066468
CHEMBL3544935	ENSG00000175634
CHEMBL3544935	ENSG00000108443
CHEMBL4650473	ENSG00000181847
CHEMBL3989798	ENSG00000169252
CHEMBL1256786	ENSG00000169252
CHEMBL2109600	ENSG00000239697
CHEMBL4457723	ENSG00000121807
CHEMBL1963683	ENSG00000122420
CHEMBL3707316	ENSG00000175344
CHEMBL1200782	ENSG00000165646
CHEMBL612	ENSG00000165646
CHEMBL3545377	ENSG00000149554
CHEMBL601719	ENSG00000171094
CHEMBL601719	ENSG00000181163
CHEMBL979	ENSG00000022355
CHEMBL979	ENSG00000145864
CHEMBL979	ENSG00000113327
CHEMBL979	ENSG00000166206
CHEMBL979	ENSG00000109158
CHEMBL979	ENSG00000182256
CHEMBL979	ENSG00000268089
CHEMBL979	ENSG00000011677
CHEMBL979	ENSG00000094755
CHEMBL979	ENSG00000187730
CHEMBL979	ENSG00000163285
CHEMBL979	ENSG00000163288
CHEMBL979	ENSG00000102287
CHEMBL979	ENSG00000151834
CHEMBL979	ENSG00000186297
CHEMBL979	ENSG00000145863
CHEMBL1200817	ENSG00000112038
CHEMBL1514	ENSG00000112038
CHEMBL3545347	ENSG00000130368
CHEMBL2107831	ENSG00000117400
CHEMBL1200638	ENSG00000196639
CHEMBL1201287	ENSG00000196639
CHEMBL3989871	ENSG00000197405
CHEMBL513	ENSG00000104687
CHEMBL187709	ENSG00000116133
CHEMBL3545179	ENSG00000148053
CHEMBL1534525	ENSG00000196557
CHEMBL1534525	ENSG00000006283
CHEMBL1534525	ENSG00000100346
CHEMBL45816	ENSG00000196557
CHEMBL45816	ENSG00000006283
CHEMBL45816	ENSG00000100346
CHEMBL75753	ENSG00000043591
CHEMBL3039543	ENSG00000121966
CHEMBL19	ENSG00000133742
CHEMBL2109464	ENSG00000169194
CHEMBL1088750	ENSG00000112062
CHEMBL245019	ENSG00000163655
CHEMBL4297584	ENSG00000105851
CHEMBL4298047	ENSG00000177455
CHEMBL2108660	ENSG00000119888
CHEMBL2151437	ENSG00000175344
CHEMBL4204794	ENSG00000157404
CHEMBL2146110	ENSG00000149295
CHEMBL220808	ENSG00000149295
CHEMBL2448612	ENSG00000179546
CHEMBL442	ENSG00000179546
CHEMBL25202	ENSG00000077092
CHEMBL16	ENSG00000144285
CHEMBL16	ENSG00000183873
CHEMBL16	ENSG00000007314
CHEMBL16	ENSG00000136546
CHEMBL16	ENSG00000136531
CHEMBL16	ENSG00000169432
CHEMBL16	ENSG00000153253
CHEMBL16	ENSG00000168356
CHEMBL16	ENSG00000196876
CHEMBL16	ENSG00000185313
CHEMBL289480	ENSG00000010322
CHEMBL1200845	ENSG00000113580
CHEMBL439338	ENSG00000151577
CHEMBL1678	ENSG00000087085
CHEMBL502	ENSG00000087085
CHEMBL1276138	ENSG00000152578
CHEMBL1276138	ENSG00000125675
CHEMBL1276138	ENSG00000120251
CHEMBL1276138	ENSG00000155511
CHEMBL4297492	ENSG00000196664
CHEMBL1120	ENSG00000073756
CHEMBL1120	ENSG00000095303
