drug	phenotype	p_value	pred_prob	pval_less_5Eneg08	pval_less_5Eneg06	pval_less_5Eneg04	pval_less_5Eneg02	pval_less_1Eneg01
CHEMBL932	D000152	7.897e-07	0.00184815436022954	0	1	1	1	1
CHEMBL655	D000152	0.0005297	0.000943372921379908	0	0	0	1	1
CHEMBL454	D000152	0.0005297	0.000691584438431414	0	0	0	1	1
CHEMBL12	D000152	0.0005297	0.00071893092172719	0	0	0	1	1
CHEMBL661	D000152	0.0005297	0.00339506098131968	0	0	0	1	1
CHEMBL220492	D000152	0.0002429	0.0007115580400613	0	0	1	1	1
CHEMBL1542	D000152	0.1592	0.00196542468964517	0	0	0	0	0
CHEMBL1963683	D000152	0.006676	0.000679453662423545	0	0	0	1	1
CHEMBL1200963	D000152	0.006676	0.000741933763648653	0	0	0	1	1
CHEMBL1200799	D000152	0.006676	0.000676635930612375	0	0	0	1	1
CHEMBL1051	D000152	0.006676	0.000888465255181034	0	0	0	1	1
CHEMBL640	D000152	0.000777	0.00066793421829257	0	0	0	1	1
CHEMBL1294	D000152	0.000777	0.000661730957813435	0	0	0	1	1
CHEMBL631	D000152	0.000777	0.00068275354334105	0	0	0	1	1
CHEMBL517	D000152	0.000777	0.00114766450641153	0	0	0	1	1
CHEMBL184412	D000152	2.387e-06	0.000570870176594928	0	1	1	1	1
CHEMBL1491	D000152	2.387e-06	0.00196874133196408	0	1	1	1	1
CHEMBL6966	D000152	2.387e-06	0.00083789836167865	0	1	1	1	1
CHEMBL193	D000152	2.387e-06	0.00347969631634576	0	1	1	1	1
CHEMBL23	D000152	2.387e-06	0.000683540754322015	0	1	1	1	1
CHEMBL1428	D000152	2.387e-06	0.00101120000213691	0	1	1	1	1
CHEMBL1336	D000152	0.002459	0.000699994624974745	0	0	0	1	1
CHEMBL2181927	D000152	0.01084	0.11908058648001	0	0	0	1	1
CHEMBL1201607	D000152	0.002302	0.00164959491283466	0	0	0	1	1
CHEMBL3989767	D000152	0.008991	0.000886361628218151	0	0	0	1	1
CHEMBL264374	D000152	2.261e-05	0.00176464190876714	0	0	1	1	1
CHEMBL565	D000152	0.00688	0.00210765400386851	0	0	0	1	1
CHEMBL672	D000152	0.00688	0.00168153193975568	0	0	0	1	1
CHEMBL457	D000152	0.00688	0.00225943849029863	0	0	0	1	1
CHEMBL679	D000152	0.0003653	0.00102012437336659	0	0	1	1	1
CHEMBL709	D000152	0.0003653	0.00210057056358722	0	0	1	1	1
CHEMBL442	D000152	2.989e-07	0.000683561498848874	0	1	1	1	1
CHEMBL1422	D000152	0.01388	0.116031928196131	0	0	0	1	1
CHEMBL559	D000152	0.0008208	0.0018067976480529	0	0	0	1	1
CHEMBL485	D000152	0.0009761	0.000765903361448865	0	0	0	1	1
CHEMBL596	D000152	0.001417	0.000763166139672241	0	0	0	1	1
CHEMBL218490	D000152	0.1208	0.000667546410595202	0	0	0	0	0
CHEMBL220491	D000152	0.1208	0.000688375878799085	0	0	0	0	0
CHEMBL113	D000152	9.792e-09	0.000644330209169	1	1	1	1	1
CHEMBL83	D000152	0.000247	0.000871417470557643	0	0	1	1	1
CHEMBL2355051	D000152	0.000247	0.000925970963624606	0	0	1	1	1
CHEMBL550	D000152	0.0006532	0.000750691119629196	0	0	0	1	1
CHEMBL1180725	D000152	0.0006532	0.000693741119452499	0	0	0	1	1
CHEMBL1396	D000152	0.001483	0.00088102367907114	0	0	0	1	1
CHEMBL3	D000152	0.001483	0.000838044853903485	0	0	0	1	1
CHEMBL1477	D000152	0.001867	0.00162362813781292	0	0	0	1	1
CHEMBL1144	D000152	0.001867	0.00150646516161661	0	0	0	1	1
CHEMBL503	D000152	0.001867	0.00162385277607961	0	0	0	1	1
CHEMBL1201753	D000152	0.001867	0.00209602818424578	0	0	0	1	1
CHEMBL1496	D000152	0.001867	0.0014961185325004	0	0	0	1	1
CHEMBL1064	D000152	0.001867	0.00163615565707924	0	0	0	1	1
CHEMBL1487	D000152	0.001867	0.00191528703770071	0	0	0	1	1
CHEMBL2220442	D000152	0.001867	0.00156595653301456	0	0	0	1	1
CHEMBL730	D000152	0.001607	0.00168056944145384	0	0	0	1	1
CHEMBL495	D000152	0.008502	0.000922888560693319	0	0	0	1	1
CHEMBL4297666	D000152	0.1068	0.000773617638983319	0	0	0	0	0
CHEMBL75880	D000152	0.02658	0.00186787309122668	0	0	0	1	1
CHEMBL3545184	D000152	4.252e-12	0.11585054918815	1	1	1	1	1
