"","column_label","p","label","split"
"CHEMBL1000:D000075224","1",0.0038413097992897,0,1
"CHEMBL1000:D000505","1",0.00385698749148172,0,2
"CHEMBL1000:D001749","1",0.00128340126922029,0,3
"CHEMBL1000:D002764","1",0.00287232457144977,0,4
"CHEMBL1000:D005705","1",0.00150248054266736,0,5
"CHEMBL1000:D007037","1",0.0483693098832802,0,1
"CHEMBL1000:D009260","1",0.00342321840512527,0,2
"CHEMBL1000:D010024","1",0.0120165988695743,0,3
"CHEMBL1000:D011111","1",0.0041334327090483,0,4
"CHEMBL1000:D012893","1",0.000830189537534088,0,5
"CHEMBL1000:D014012","1",0.00156753183151794,0,1
"CHEMBL1000:D051436","1",0.00130783557553306,0,2
"CHEMBL1004:D000505","1",0.0013408400160003,0,3
"CHEMBL1004:D002761","1",0.000529181357312495,0,4
"CHEMBL1004:D005705","1",0.00247944596876743,0,5
"CHEMBL1004:D007951","1",0.00322204540493912,0,1
"CHEMBL1004:D009260","1",0.00461108328855247,0,2
"CHEMBL1004:D010689","1",0.00478756235152258,0,3
"CHEMBL1004:D011470","1",0.00237736857578534,0,4
"CHEMBL1004:D012393","1",0.00117492511829955,0,5
"CHEMBL1006:D000076385","1",0.000877481595658135,0,1
"CHEMBL1006:D000544","1",0.000567462474934626,0,2
"CHEMBL1006:D001851","1",0.00363089230763511,0,3
"CHEMBL1006:D002543","1",0.00102646503833438,0,4
"CHEMBL1006:D003680","1",0.00425384612566103,0,5
"CHEMBL1006:D006429","1",0.00449682262592884,0,1
"CHEMBL1006:D008010","1",0.00117370143634903,0,2
"CHEMBL1006:D009443","1",0.0045391562935361,0,3
"CHEMBL1006:D010689","1",0.005206799341333,0,4
"CHEMBL1006:D011470","1",0.00106740337225373,0,5
"CHEMBL1006:D012878","1",0.00325571541800537,0,1
"CHEMBL1006:D014012","1",0.00126955861314262,0,2
"CHEMBL1006:D015228","1",0.00057002070993896,0,3
"CHEMBL1006:D019966","1",0.00411061768774176,0,4
"CHEMBL1008:D000505","1",0.030805468326124,0,5
"CHEMBL1008:D003424","1",0.000666089875961601,0,1
"CHEMBL1008:D005705","1",0.00129541209367301,0,2
"CHEMBL1008:D008010","1",0.00502429299487828,0,3
"CHEMBL1008:D010001","1",0.0851277621826039,0,4
"CHEMBL1008:D011111","1",0.0060224828343344,0,5
"CHEMBL1008:D012626","1",0.00198594035271421,0,1
"CHEMBL1008:D014029","1",0.00173387914144879,0,2
"CHEMBL1009:D000076385","1",0.000797422883173943,0,3
"CHEMBL1009:D001749","1",0.00141438964422285,0,4
"CHEMBL1009:D003424","1",0.00297176143239704,0,5
"CHEMBL1009:D006689","1",0.00110418019364282,0,1
"CHEMBL1009:D009260","1",0.00327488520033872,0,2
"CHEMBL1009:D010689","1",0.00318494009814843,0,3
"CHEMBL1009:D011470","1",0.00227539888261906,0,4
"CHEMBL1009:D012626","1",0.000757744070951069,0,5
"CHEMBL1013:D000076385","1",0.00105709253862753,0,1
"CHEMBL1013:D000647","1",0.000956614105841787,0,2
"CHEMBL1013:D001851","1",0.00386006115996142,0,3
"CHEMBL1013:D003680","1",0.00328949359136831,0,4
"CHEMBL1013:D006429","1",0.00442477661902154,0,5
"CHEMBL1013:D008113","1",0.000917926067542797,0,1
"CHEMBL1013:D009260","1",0.00389027784683395,0,2
"CHEMBL1013:D010024","1",0.113881818859262,0,3
"CHEMBL1013:D011030","1",0.00372318418794011,0,4
"CHEMBL1013:D012893","1",0.000939053315110555,0,5
"CHEMBL1013:D014029","1",0.000932539986892186,0,1
"CHEMBL1013:D019966","1",0.00401823709687263,0,2
"CHEMBL1016:D000505","1",0.0212410826924685,0,3
"CHEMBL1016:D003424","1",0.000869976160358906,0,4
"CHEMBL1016:D005705","1",0.00127739933902605,0,5
"CHEMBL1016:D008010","1",0.000970684433830382,0,1
"CHEMBL1016:D010001","1",0.122407716425639,0,2
"CHEMBL1016:D011111","1",0.00372575347444852,0,3
"CHEMBL1016:D012626","1",0.00181481038591202,0,4
"CHEMBL1016:D014060","1",0.00538554557207344,0,5
"CHEMBL1016:D019966","1",0.00400242268356468,0,1
"CHEMBL1017:D000380","1",0.00411877428260196,0,2
"CHEMBL1017:D001851","1",0.00334988729003951,0,3
"CHEMBL1017:D003248","1",0.00115602502609367,0,4
"CHEMBL1017:D004381","1",0.00380423582534815,0,5
"CHEMBL1017:D005705","1",0.00404942925548795,0,1
"CHEMBL1017:D006471","1",0.00411067158485257,0,2
"CHEMBL1017:D007951","1",0.00402053296823882,0,3
"CHEMBL1017:D008286","1",0.00406298954647422,0,4
"CHEMBL1017:D010051","1",0.00448020674577206,0,5
"CHEMBL1017:D011030","1",0.0316848448132752,0,1
"CHEMBL1017:D011565","1",0.00396142554777315,0,2
"CHEMBL1017:D012878","1",0.00289169860621307,0,3
"CHEMBL1017:D014029","1",0.00165042736322012,0,4
"CHEMBL1017:D015837","1",0.00324388064324934,0,5
"CHEMBL1017:D055623","1",0.000804271658994301,0,1
"CHEMBL1020:D000419","1",0.000710383829633182,0,2
"CHEMBL1020:D001714","1",0.00197306957507616,0,3
"CHEMBL1020:D003248","1",0.0010262324762561,0,4
"CHEMBL1020:D005705","1",0.000801385223288805,0,5
"CHEMBL1020:D008010","1",0.00110296793340759,0,1
"CHEMBL1020:D009443","1",0.00497421462688954,0,2
"CHEMBL1020:D010689","1",0.00515959469373145,0,3
"CHEMBL1020:D011472","1",0.00367718587066058,0,4
"CHEMBL1020:D012893","1",0.00279052892538876,0,5
"CHEMBL1020:D014029","1",0.0058040694698259,0,1
"CHEMBL1020:D020177","1",0.00102741846688146,0,2
"CHEMBL1021:D000505","1",0.00216543351024771,0,3
"CHEMBL1021:D002761","1",0.00700197435618329,0,4
"CHEMBL1021:D003680","1",0.00315350329470234,0,5
"CHEMBL1021:D005242","1",0.00426110431444437,0,1
"CHEMBL1021:D006177","1",0.0010107834520868,0,2
"CHEMBL1021:D006548","1",0.000794932369685751,0,3
"CHEMBL1021:D009260","1",0.00370370170315139,0,4
"CHEMBL1021:D010538","1",0.0010278365339856,0,5
"CHEMBL1021:D011111","1",0.0063800895625405,0,1
"CHEMBL1021:D012878","1",0.00292742160110357,0,2
"CHEMBL1021:D015179","1",0.00142184564495584,0,3
"CHEMBL1024:D000075224","1",0.0041593102560935,0,4
"CHEMBL1024:D000419","1",0.000730241087424094,0,5
"CHEMBL1024:D000647","1",0.000843786892140522,0,1
"CHEMBL1024:D001008","1",0.000659769781915953,0,2
"CHEMBL1024:D001289","1",0.000614929016320841,0,3
"CHEMBL1024:D002386","1",0.00131689258350544,0,4
"CHEMBL1024:D002546","1",0.0040027334462001,0,5
"CHEMBL1024:D003424","1",0.000587054849536394,0,1
"CHEMBL1024:D003924","1",0.00491659716876576,0,2
"CHEMBL1024:D004827","1",0.000615658006289874,0,3
"CHEMBL1024:D005901","1",0.00549471190397833,0,4
"CHEMBL1024:D006327","1",0.00102821415106659,0,5
"CHEMBL1024:D006548","1",0.000950772855407809,0,1
"CHEMBL1024:D006973","1",0.00360244742804503,0,2
"CHEMBL1024:D007319","1",0.003544916296826,0,3
"CHEMBL1024:D008180","1",0.00136310921575387,0,4
"CHEMBL1024:D009203","1",0.000473654182430873,0,5
"CHEMBL1024:D009765","1",0.00120418065866115,0,1
"CHEMBL1024:D010031","1",0.00103350757538192,0,2
"CHEMBL1024:D011030","1",0.142910459855974,0,3
"CHEMBL1024:D012005","1",0.00102882716017112,0,4
"CHEMBL1024:D012852","1",0.000967443142652868,0,5
"CHEMBL1024:D013345","1",0.0318998256128152,0,1
"CHEMBL1024:D014012","1",0.00128758547138179,0,2
"CHEMBL1024:D015155","1",0.0010387018746317,0,3
"CHEMBL1024:D016055","1",0.00371695526320302,0,4
"CHEMBL1024:D018798","1",0.000895269034786016,0,5
"CHEMBL1024:D034381","1",0.000636183788529582,0,1
"CHEMBL1024:D058186","1",0.00338253409232561,0,2
"CHEMBL1025:D000380","1",0.0027751677870558,0,3
"CHEMBL1025:D001943","1",0.00168734802690113,0,4
"CHEMBL1025:D003248","1",0.00100335155300894,0,5
"CHEMBL1025:D004415","1",0.00311671424454312,0,1
"CHEMBL1025:D005705","1",0.000872107541847469,0,2
"CHEMBL1025:D006471","1",0.00453190677395914,0,3
"CHEMBL1025:D006627","1",0.00112671612364873,0,4
"CHEMBL1025:D010001","1",0.00671859264826124,0,5
"CHEMBL1025:D010689","1",0.00387121111052439,0,1
"CHEMBL1025:D011470","1",0.000788871557960175,0,2
"CHEMBL1025:D013276","1",0.000878756427331199,0,3
"CHEMBL1025:D017098","1",0.000828473930579003,0,4
"CHEMBL1027:D000230","1",0.000776871206399365,0,5
"CHEMBL1027:D000740","1",0.00106210170203451,0,1
"CHEMBL1027:D001249","1",0.0111056131295274,0,2
"CHEMBL1027:D002280","1",0.00195216612153927,0,3
"CHEMBL1027:D002761","1",0.00162530324285112,0,4
"CHEMBL1027:D003248","1",0.00119622171983059,0,5
"CHEMBL1027:D004415","1",0.00400163009788675,0,1
"CHEMBL1027:D005348","1",0.00361322990027078,0,2
"CHEMBL1027:D005921","1",0.00087810651056873,0,3
"CHEMBL1027:D006484","1",0.000927603343074697,0,4
"CHEMBL1027:D007951","1",0.0030705908527654,0,5
"CHEMBL1027:D008175","1",0.214662893745294,0,1
"CHEMBL1027:D008545","1",0.000695210814127652,0,2
"CHEMBL1027:D010051","1",0.000666492983192727,0,3
"CHEMBL1027:D010689","1",0.00432244814360151,0,4
"CHEMBL1027:D011111","1",0.00346842565853438,0,5
"CHEMBL1027:D011537","1",0.00338202587134438,0,1
"CHEMBL1027:D012005","1",0.000783128993503928,0,2
"CHEMBL1027:D013167","1",0.000453446962851825,0,3
"CHEMBL1027:D014648","1",0.00910718070730659,0,4
"CHEMBL1027:D016055","1",0.00402754086675071,0,5
"CHEMBL1027:D019226","1",0.00216907121104106,0,1
"CHEMBL1027:D065631","1",0.0046442494480293,0,2
"CHEMBL1037:D000647","1",0.0260374241012576,0,3
"CHEMBL1037:D003680","1",0.00590479961455447,0,4
"CHEMBL1037:D006429","1",0.00592075700803013,0,5
"CHEMBL1037:D009260","1",0.00385954467365643,0,1
"CHEMBL1037:D010996","1",0.00340871610269294,0,2
"CHEMBL1037:D011472","1",0.00349353069231943,0,3
"CHEMBL1037:D014012","1",0.0062374835895236,0,4
"CHEMBL1037:D019966","1",0.00394188576808804,0,5
"CHEMBL104:D001281","1",0.00317715940042342,0,1
"CHEMBL104:D002764","1",0.0033059322662351,0,2
"CHEMBL104:D006177","1",0.00314953195264212,0,3
"CHEMBL104:D008881","1",0.00438424422166575,0,4
"CHEMBL104:D010689","1",0.00318128729298504,0,5
"CHEMBL104:D013345","1",0.00438358028240064,0,1
"CHEMBL1040:D000230","1",0.00127730853963539,0,2
"CHEMBL1040:D001991","1",0.00104422018706136,0,3
"CHEMBL1040:D003731","1",0.00107620405592812,0,4
"CHEMBL1040:D007018","1",0.00120221861117857,0,5
"CHEMBL1040:D009290","1",0.00110774045292569,0,1
"CHEMBL1040:D011565","1",0.000839020850668186,0,2
"CHEMBL1040:D014012","1",0.00109565392768092,0,3
"CHEMBL1040:D015352","1",0.001084776890505,0,4
"CHEMBL1040:D055623","1",0.00074641699503797,0,5
"CHEMBL1042:D000076385","1",0.000652594554755096,0,1
"CHEMBL1042:D000419","1",0.00107068626456932,0,2
"CHEMBL1042:D000647","1",0.000763707355642917,0,3
"CHEMBL1042:D001008","1",0.00110720139176522,0,4
"CHEMBL1042:D001201","1",0.00333048778359232,0,5
"CHEMBL1042:D001714","1",0.150115699618682,0,1
"CHEMBL1042:D002294","1",0.00208700614055101,0,2
